BRAY_beta_div_abund_stoch	BRAY_AbundanceNullDeviation
LTae1	0.564031308084248	0.482033046351127
LTae2	0.552092212716494	0.470093950983373
LTae3	0.621781594742545	0.539783333009425
LTae4	0.657903441052895	0.575905179319775
LTae5	0.657118686260917	0.575120424527796
LTae6	0.646296638099204	0.564298376366084
LTbo1	0.564319872219171	0.482321610486051
LTbo2	0.537451594764413	0.455453333031293
LTbo3	0.51512920386853	0.433130942135409
LTbo4	0.513346224322758	0.431347962589637
LTbo5	0.550022511863089	0.468024250129969
LTbo6	0.509634434307845	0.427636172574725
LTur1	0.63017658002125	0.548178318288129
LTur2	0.610813861887233	0.528815600154112
LTur3	0.598341511022959	0.516343249289838
LTur4	0.615507583619419	0.533509321886298
RTae1	0.670698824301271	0.634849246058286
RTae2	0.503214452348979	0.467364874105994
RTae3	0.536204939796512	0.500355361553527
RTae4	0.487253462772514	0.45140388452953
RTae5	0.637400904716471	0.601551326473487
RTae6	0.518309914190894	0.482460335947909
RTbo1	0.568195309179431	0.532345730936447
RTbo2	0.584621230298361	0.548771652055377
RTbo3	0.508113838834928	0.472264260591943
RTbo4	0.54557580293814	0.509726224695155
RTbo5	0.536900585030181	0.501051006787197
RTbo6	0.641401787887009	0.605552209644024
RTur1	0.528438308537633	0.492588730294648
RTur2	0.627620631664	0.591771053421015
RTur3	0.577216507583809	0.541366929340825
RTur4	0.677835172993317	0.641985594750332
RzTae1	0.463992616336266	0.36708461980166
RzTae2	0.58332893836257	0.486420941827964
RzTae3	0.432307987815386	0.335399991280779
RzTae4	0.463267608157969	0.366359611623362
RzTae5	0.435115055107066	0.338207058572459
RzTae6	0.438174719168796	0.34126672263419
RzTbo1	0.430871439766989	0.333963443232383
RzTbo2	0.424704736428474	0.327796739893867
RzTbo3	0.430128223280101	0.333220226745495
RzTbo4	0.482267883380909	0.385359886846302
RzTbo5	0.44499468882219	0.348086692287583
RzTbo6	0.473945669301316	0.37703767276671
RzTur1	0.565254742383628	0.468346745849022
RzTur2	0.498466783628824	0.401558787094218
RzTur3	0.46279278100141	0.365884784466803
RzTur4	0.579462029159985	0.482554032625378
UnSoil1	0.308131498876393	0.234648313840488
UnSoil2	0.325654360409599	0.252171175373694
UnSoil3	0.305651362092009	0.232168177056105
UnSoil4	0.337252667536515	0.26376948250061
