BRAY_beta_div_abund_stoch	BRAY_AbundanceNullDeviation
LTae1	0.966784104488984	0.64149758780374
LTae2	0.945192272702061	0.619905756016816
LTae3	0.96061948935529	0.635332972670046
LTae4	0.994244604316547	0.668958087631302
LTae5	0.954793131088914	0.629506614403669
LTae6	0.962812934165821	0.637526417480576
LTbo1	0.913774651919371	0.588488135234127
LTbo2	0.914661382690472	0.589374866005227
LTbo3	0.931819097868122	0.606532581182877
LTbo4	0.960683760683761	0.635397243998516
LTbo5	0.954015122991175	0.62872860630593
LTbo6	0.976810696930451	0.651524180245207
LTur1	0.981181272855038	0.655894756169793
LTur2	0.967495964336494	0.64220944765125
LTur3	0.961686309739862	0.636399793054618
LTur4	0.957928986254472	0.632642469569228
RTae1	0.906739092303879	0.836791957124277
RTae2	0.804146871414758	0.734199736235157
RTae3	0.901193269808925	0.831246134629324
RTae4	0.828660309475525	0.758713174295924
RTae5	0.835797811374116	0.765850676194515
RTae6	0.876685638266818	0.806738503087217
RTbo1	0.866344183990283	0.796397048810682
RTbo2	0.886232037944487	0.816284902764886
RTbo3	0.833153137518308	0.763206002338707
RTbo4	0.877067958458526	0.807120823278925
RTbo5	0.829946949198986	0.759999814019385
RTbo6	0.920547405863523	0.850600270683922
RTur1	0.923236778191458	0.853289643011857
RTur2	0.935022193166855	0.865075057987254
RTur3	0.921090382167548	0.851143246987947
RTur4	0.893797262196827	0.823850127017226
RzTae1	0.929345110494903	0.82944889526397
RzTae2	0.922134078838066	0.822237863607133
RzTae3	0.919518961639482	0.819622746408549
RzTae4	0.943562921112499	0.843666705881566
RzTae5	0.92464628258446	0.824750067353527
RzTae6	0.920835467034633	0.8209392518037
RzTbo1	0.941411299614569	0.841515084383636
RzTbo2	0.933237264866664	0.833341049635731
RzTbo3	0.951190507608222	0.851294292377289
RzTbo4	0.936816154841418	0.836919939610485
RzTbo5	0.92762244619518	0.827726230964246
RzTbo6	0.965469178342173	0.86557296311124
RzTur1	0.940123773253878	0.840227558022945
RzTur2	0.93589642748925	0.836000212258317
RzTur3	0.939252285260893	0.839356070029959
RzTur4	0.958786187718269	0.858889972487336
UnSoil1	0.933607883365992	0.870044113804109
UnSoil2	0.931296325012956	0.867732555451073
UnSoil3	0.933213730705639	0.869649961143756
UnSoil4	0.940461756483375	0.876897986921492
