	Concat2	Geno	Comp	Comp2	Comp3
LTae1	LTae	Tae	Leaf	Leaf	Dom
LTae2	LTae	Tae	Leaf	Leaf	Dom
LTae3	LTae	Tae	Leaf	Leaf	Dom
LTae4	LTae	Tae	Leaf	Leaf	Dom
LTae5	LTae	Tae	Leaf	Leaf	Dom
LTae6	LTae	Tae	Leaf	Leaf	Dom
LTbo1	LTbo	Tbo	Leaf	Leaf	Wil
LTbo2	LTbo	Tbo	Leaf	Leaf	Wil
LTbo3	LTbo	Tbo	Leaf	Leaf	Wil
LTbo4	LTbo	Tbo	Leaf	Leaf	Wil
LTbo5	LTbo	Tbo	Leaf	Leaf	Wil
LTbo6	LTbo	Tbo	Leaf	Leaf	Wil
LTur1	LTur	Tur	Leaf	Leaf	Wil
LTur2	LTur	Tur	Leaf	Leaf	Wil
LTur3	LTur	Tur	Leaf	Leaf	Wil
LTur4	LTur	Tur	Leaf	Leaf	Wil
RTae1	RTae	Tae	Root	Root	Dom
RTae2	RTae	Tae	Root	Root	Dom
RTae3	RTae	Tae	Root	Root	Dom
RTae4	RTae	Tae	Root	Root	Dom
RTae5	RTae	Tae	Root	Root	Dom
RTae6	RTae	Tae	Root	Root	Dom
RTbo1	RTbo	Tbo	Root	Root	Wil
RTbo2	RTbo	Tbo	Root	Root	Wil
RTbo3	RTbo	Tbo	Root	Root	Wil
RTbo4	RTbo	Tbo	Root	Root	Wil
RTbo5	RTbo	Tbo	Root	Root	Wil
RTbo6	RTbo	Tbo	Root	Root	Wil
RTur1	RTur	Tur	Root	Root	Wil
RTur2	RTur	Tur	Root	Root	Wil
RTur3	RTur	Tur	Root	Root	Wil
RTur4	RTur	Tur	Root	Root	Wil
RzTae1	RzTae	Tae	Rhizo	RS	Dom
RzTae2	RzTae	Tae	Rhizo	RS	Dom
RzTae3	RzTae	Tae	Rhizo	RS	Dom
RzTae4	RzTae	Tae	Rhizo	RS	Dom
RzTae5	RzTae	Tae	Rhizo	RS	Dom
RzTae6	RzTae	Tae	Rhizo	RS	Dom
RzTbo1	RzTbo	Tbo	Rhizo	RS	Wil
RzTbo2	RzTbo	Tbo	Rhizo	RS	Wil
RzTbo3	RzTbo	Tbo	Rhizo	RS	Wil
RzTbo4	RzTbo	Tbo	Rhizo	RS	Wil
RzTbo5	RzTbo	Tbo	Rhizo	RS	Wil
RzTbo6	RzTbo	Tbo	Rhizo	RS	Wil
RzTur1	RzTur	Tur	Rhizo	RS	Wil
RzTur2	RzTur	Tur	Rhizo	RS	Wil
RzTur3	RzTur	Tur	Rhizo	RS	Wil
RzTur4	RzTur	Tur	Rhizo	RS	Wil
UnSoil1	UnSoil	UnSoil	UnSoil	RS	UnSoil
UnSoil2	UnSoil	UnSoil	UnSoil	RS	UnSoil
UnSoil3	UnSoil	UnSoil	UnSoil	RS	UnSoil
UnSoil4	UnSoil	UnSoil	UnSoil	RS	UnSoil
