	Kingdom	Phylum	Class	Order	Family	Genus	Species
05d9286509c67306a477db686246d326	Bacteria	Acidobacteria	[Chloracidobacteria]	ND	ND	ND	ND
49e38a3ac522ed84cf02eeeb11738a08	Bacteria	Acidobacteria	[Chloracidobacteria]	ND	ND	ND	ND
66d9a187ad7baad5ebf456baf9b429fa	Bacteria	Acidobacteria	[Chloracidobacteria]	ND	ND	ND	ND
b39647a5df6d1dfd30e9b4b78b42076a	Bacteria	Acidobacteria	[Chloracidobacteria]	ND	ND	ND	ND
179c25870733a4a258a589a3b6fc9cad	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
2c295b07d807f3154a05b3ac3c4ad123	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
39613053162933ac58fc3a66787823e3	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
3a472fbf2fb303acf03c7899e409ea1c	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
43c294aaa0a74c295c98b54069393ff0	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
48a470d30883fb45a15fd13ab1dfbf4e	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
4d7a98e73a7b9e2f2b171ac0d83f2298	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
57a85f2be12101be80eedcf5e39d6450	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
5860f9a2ce17545d024ce896b5c5486a	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
68dd3ea640916aac89c50dbdc0047c32	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
6ef53c68bdbbde27ac5d8dfde0e91fa2	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
9849858d4ac0dca3869e9c36fdd14d0d	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
991f741a4cb2c8d4500d1f869e2fff86	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
a5535f6104bbe766d94e3c370488220c	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
c3509624d2dbde8207683a6794d9059a	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
c9e4f6df94cafed63ec6d80772d26b18	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
d18c72080ebfd1b9c3f5eed8a5a01c0c	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
dd003080bd6949fdb3e1c797986d9847	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
e3c2f3061bf5c55f6ff4c616afbef651	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
e3ebe03c36947eff18d724c964576bc3	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
f4b1b0c0ba2330c90d78617fb0b022c2	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
f5ce6a8ac1c13fcdf2647e31e209492d	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
fa3055e4a9221b3cfb6074fb7a748a04	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
fc5b8f430e908644f01864a34221ad4b	Bacteria	Acidobacteria	Acidobacteria-5	ND	ND	ND	ND
