	Kingdom	Phylum	Class	Order	Family	Genus	Species
00e099e40dda643cdecb01f14a7bac3a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
10f888cbeb3b9fa6a4fd243354a08d93	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
c75c62d430129b25e70c2db3437f195f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
19f64ebc02bcfa2f34939674a3bc3178	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
e16bd5c63313e3d8e224eaae2c2079dd	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
599b97fdabca0b6190a415819e68553c	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
6d8fdb7bee6b5640e6c7aaaa1ca8dae2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
ec8a2aa4dfd0b2250f12a561316aa8bc	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
cc4a58c94109bcd1928225bbe4941735	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
6f6288e6dff28bfe04843dcb6e6cbd0c	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
849933b3c4ece648cfcc8e312627b39b	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
5c963f0fbca200975d00696a90734682	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
c4665307a79ce0e6d3c626c7bc2722fa	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
29a09bbb9568c83fd5edcd22a22c4859	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
7057be4f3fc91021d71ba5d6bce33afa	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
140b11999db917e0f06ee9614b3c1df3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
f7be69aeeacc26ec1f3a2840546eb818	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
6fd013f11b2f367fb94184f5f8422a2a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
aebff7516c1b5e7aad782b9881c72f32	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
3c817e1cc185a7af9ff12e64a3b77911	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
4a1e0b8752611000cf3ad996df900cd2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
b93332985a6bcf2dd6529a0c1337428a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
8f756d9d754d8fefdd3c13b4172a5cb9	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
6cbb449084aa64f6c1ccd0172f9d372e	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
a30e7326f78de62fece3e1a01c4b4a80	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
014d6a1d32f06a9bfa6e822535cbcfcf	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
145b94e55ca8cbdc26fd209488291bdb	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
e2da4b684d127941970a3db42a22bcd4	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
2e99c7188f0f41c47a05f03a697dedbc	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
74f40848987aa9a993cbc819ab8189ce	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
b3d2ee09b9b7bdd4ee675fa7d736ab59	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
446f2ef3f9efd5ffaac1d99d94addeab	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
5b9ca65a39d48cd93e73e0512679bbbf	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
ed22fa96ba3d3ccd938da9c0946d0530	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
9c67a7f71b39ae186b16371a018c103b	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
e04d2235c64e4f7583adc36fc38399dd	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
4fc8bd234bb4697cdcbc09a031ca759f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
26c4334a8b0dd51609acc2c4f93acd02	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
d178d3a303caec441ff17d26d3a7f957	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
10ac0b19f69c7be9404063c1848c77ba	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
b56fcd25e87faf3c846074dc95b0827b	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
c48b24347b67fedced2e0a8b4797e6bf	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
318b698a322f5bdf0ffa0d33816739ce	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
65b0409edee56474a0d0f38f704deee7	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
b2b6982131667691f8f5a70b5f4eb0a2	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
88674cc13c9117e78c3b945dae96b5ff	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
a2111fb6c840b16d500e6564ced629c0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
f9c7c400023523f796928a320bc6419c	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
c07fcd837b11f7ed3c381707430e58d6	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
308bd5b43e523c3c63ca62ba0f94a67f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
36b5d82f2672c433ef12eaa947d908fb	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
08cafc8d3170924f70ea936304de7215	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
dcb7d7eb6a22e5abcfcacdc10157e34a	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
c11698e6b58678d117d23180f7902636	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
1fd18f6449163309838e71a1462b3fde	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
86e92ca0109d9eac6054919d8f815c51	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
b38e74aedfe7fc6c28928a700e13042f	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
f94ff8ff3f562ec6498c389863105d69	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
e2cd8df105b88099b14a7324437ec0ed	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
094efc93245468fcec795b588b719b9b	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
ff62c148aa1c83af97b8a0491f4b9226	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
a9f315f2e4defc99cdaae619eab66d95	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	unidentified
12d5993611384d05ea72851ae6ec29b9	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Devriesia	Devriesia_fraserae
7b52a168d114c1dd16fb1d0f2eab1b08	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
3e570cc7086b8a35446bf1351feeb3e3	Fungi	Ascomycota	Dothideomycetes	Capnodiales	unidentified	unidentified	unidentified
